uai,effectif_segpa,ips,ecart_type_de_l_ips,ep,ratio_filles_garcons,longueur_nom_etablissement,secteur,effectifs
0382035F,85,97.5,43.7,0,1.0149253731343284,21,1,675
9720842H,0,87.8,24.8,0,0.8173076923076923,26,1,189
0681757R,0,76.6,24.2,0,1.1548387096774193,18,1,334
0940749D,0,75.2,20.9,0,1.0291970802919708,21,1,556
9710033J,0,90.8,34.8,0,0.5151515151515151,20,1,50
0761782Z,64,69.3,18.8,0,1.0236966824644549,21,1,427
0740911N,0,85.6,31.7,0,0.8869047619047619,37,1,951
0610057F,51,82.1,28.9,0,0.9903381642512077,19,1,412
0311687R,0,112.3,36.5,0,0.9164086687306502,17,1,619
0511251H,57,68.2,18.4,0,1.0504587155963303,20,1,447
0921179G,0,102.3,31.4,0,0.85,24,1,296
0921621M,0,85.4,28.3,0,0.9834254143646409,18,1,718
0622098U,0,84.1,27.8,0,1.103030303030303,18,1,347
0780577D,0,82.4,24.1,0,0.8164251207729468,22,1,376
0920594W,0,92.0,28.1,0,1.0723981900452488,18,1,458
0383370G,0,89.4,35.4,0,1.0289855072463767,20,1,560
0681284B,0,67.9,19.9,0,0.9008264462809917,12,1,460
0594408W,39,73.3,20.7,0,0.9579439252336449,16,1,419
0511256N,66,87.0,27.4,0,0.8828451882845189,17,1,450
0931188L,0,81.4,23.8,0,0.9429347826086957,24,1,715
9741189Z,0,68.3,18.2,0,1.0288461538461537,20,1,633
0331419N,0,107.4,35.7,0,1.0394736842105263,21,1,620
0131265E,0,77.9,26.5,0,0.8518518518518519,19,1,500
0280716B,53,78.4,23.1,0,0.8303249097472925,29,1,507
0572166V,52,88.4,31.6,0,0.9879518072289156,19,1,660
0931199Y,0,82.2,22.8,0,1.0368098159509203,42,1,664
0280924C,0,92.0,32.1,0,0.9743589743589743,26,1,385
0860799B,0,80.5,30.7,0,1.0894941634241244,19,1,537
0300947S,57,78.8,24.9,0,0.945859872611465,23,1,611
9730182K,0,84.3,30.5,0,1.0200892857142858,30,1,905
9730130D,0,80.3,27.6,0,0.9242902208201893,21,1,610
0931209J,0,77.0,22.8,0,0.8388625592417062,24,1,388
0750550R,0,105.4,41.6,0,0.794392523364486,19,1,384
0762089H,0,87.3,30.4,0,0.9380530973451328,22,1,438
0622268D,44,84.3,29.7,0,1.2258064516129032,19,1,552
0622434J,0,88.4,29.3,0,1.1650943396226414,22,1,459
0932580Z,0,85.1,28.0,0,0.9446366782006921,29,1,562
0931005M,0,83.6,28.5,0,0.9888888888888889,20,1,537
0762679Z,48,88.9,29.4,0,0.9710144927536232,20,1,408
9740703W,0,78.4,26.4,0,1.1155115511551155,37,1,641
0931219V,0,94.9,36.7,0,1.0891472868217054,29,1,539
0660016J,0,78.7,26.8,0,0.9764705882352941,20,1,504
